index,name,layer,pos_x,pos_y,pos_z,rotation,value,tilt,height,thickness,style,width_ratio,degree,length,end_x,end_y,end_z,delta_x,delta_y,delta_z,start_x,start_y,start_z,pos_x1,pos_y1,pos_z1,width,minor_radius,minor_vector_x,minor_vector_y,minor_vector_z,area,radius_ratio,start_degree,major_radius,major_vector_x,major_vector_y,major_vector_z,centor_point_x,centor_point_y,centor_point_z,close,global_width,associative,radius,total_angle
1,Line,0,,,,,,,,0,,,180,6473.9436,42689.0015,42374.2353,0,-6473.9436,0,0,49162.9451,42374.2353,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,0,240,48892.9451,44274.2353,0,240,0,0,48652.9451,44274.2353,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,90,2300,48652.9451,44274.2353,0,0,2300,0,48652.9451,41974.2353,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,180,240,48652.9451,41974.2353,0,-240,0,0,48892.9451,41974.2353,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,270,2300,48892.9451,41974.2353,0,0,-2300,0,48892.9451,44274.2353,0,,,,,,,,,,,,,,,,,,,,,,,
1,PolyLine,0,,,,,,,,0,,,,5080,,,,,,,,,,,,,,,,,,552000.0001,,,,,,,,,,TRUE,0,,,
1,Hatch,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072000,,,,,,,,,,,,FALSE,,
1,Line,DIM,,,,,,,,0,,,180,1032.2317,66664.057,78788.0798,0,-1032.2317,0,0,67696.2887,78788.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,DIM,,,,,,,,0,,,0,438,84834.2887,88088.0798,0,438,0,0,84396.2887,88088.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,DIM,,,,,,,,0,,,0,7938,92334.2887,93788.0798,0,7938,0,0,84396.2887,93788.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,0,,,,,,,,,,,,,,,,,,46663.7077,39122.9641,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,180,,,,,,,,,,,,,,,,,,45703.8088,46917.8808,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,0,0,65224.364,31192.5338,0,0,0,0,65224.364,31192.5338,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,90,1500,65224.364,31692.5338,0,0,1500,0,65224.364,30192.5338,0,,,,,,,,,,,,,,,,,,,,,,,
1,Text,DIM,79453.2887,50399.2353,0,0,24740,0,1164,0,Standard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Text,DIM,75823.2887,47665.2353,0,0,12487,0,770,0,Standard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,81,6983.6562,123968.5296,99649.9827,0,1100.7439,6896.3625,0,122867.7858,92753.6201,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,81,6953.9296,111126.446,101670.2137,0,1096.0585,6867.0076,0,110030.3876,94803.2061,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,81,6983.0163,123968.2819,99649.3743,0,1100.643,6895.7307,0,122867.6389,92753.6436,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,81,6962.9603,111127.8694,101679.1315,0,1097.4818,6875.9254,0,110030.3876,94803.2061,0,,,,,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,270,,,,,,,,,,,,,,,,,,129956.7672,83756.5195,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,270,,,,,,,,,,,,,,,,,,130008.8971,87175.7252,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,270,13440.0001,106264.7209,41306.586,0,0,-13440.0001,0,106264.7209,54746.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,PolyLine,PAINT,,,,,,,,0,,,,7000.0179,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,300,,,
1,Line,0,,,,,,,,0,,,171,2000,107097.6289,101806.8859,0,-1975.0006,315.2343,0,109072.6295,101491.6516,0,,,,,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,81,,,,,,,,,,,,,,,,,,121370.4559,96912.4223,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,MultiLineText,DIM,,,,81,,,,,,,,,,,,,,,,,,120788.3141,93153.7483,0,50649.5744,,,,,,,,,,,,,,,,,,,
1,PolyLine,PAINT,,,,,,,,0,,,,6964.3664,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,300,,,
1,PolyLine,PAINT,,,,,,,,0,,,,6953.9296,,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,300,,,
1,MultiLineText,DIM,,,,180,,,,,,,,,,,,,,,,,,79850.9206,29780.0036,0,18065.7029,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,90,500,65224.364,31192.5338,0,0,500,0,65224.364,30692.5338,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,124,901.3878,65224.364,31692.5338,0,-500,750,0,65724.364,30942.5338,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,351,2000,108915.0124,100504.1513,0,1975.0006,-315.2343,0,106940.0118,100819.3856,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,DIM,,,,,,,,0,,,180,2900,95834.2887,79188.0798,0,-2900,0,0,98734.2887,79188.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,98734.2887,76588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,107834.2887,78188.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
